Temp,B2_target,B2_Ariel,B2_from_B2,B2_from_viscosity,B2_combined
300.0,-1163.0,-1199.944086046602,-549.5363104248033,-1937.639928994286,-1209.3071396557955
325.0,-795.9399999999999,-731.9953497498204,-418.13545613962896,-1056.3494630943655,-737.3211137366983
350.0,-580.11,-507.81301509181804,-331.86565660763273,-682.001977049003,-511.3617427509148
375.0,-443.32,-379.51601919522017,-271.69013346235823,-488.8787006311139,-382.13989086244874
400.0,-351.11,-297.2150816576895,-227.8050410893609,-373.33350991669386,-299.2783463547746
425.0,-285.75,-240.54563455030885,-194.6271543230796,-297.0470910006603,-242.23035226806135
450.0,-237.51999999999998,-199.62632946600465,-168.7706198714079,-243.38315534548835,-201.03821220842417
475.0,-200.75,-169.002254448689,-148.0911008218899,-203.9647407877748,-170.2098835912624
500.0,-171.97,-145.39619796790214,-131.1835527985559,-174.05456143925173,-146.4471770836377
525.0,-148.94,-126.73029726587173,-117.09981931084407,-150.7487361501571,-127.65892238523557
550.0,-130.18,-111.63814635562679,-105.1825554098349,-132.16951648766232,-112.46964155347109
575.0,-114.67,-99.1959472068323,-94.96434300918864,-117.05765435200422,-99.94910728704907
600.0,-101.65999999999998,-88.76425720818222,-86.1047900690478,-104.54568001471408,-89.45323010658451
625.0,-90.64,-79.89078118797028,-78.35040801828964,-94.02281609541564,-80.52632157732431
650.0,-81.19999999999999,-72.24891200635021,-71.50847279139565,-85.05064838223274,-72.83928101976446
675.0,-73.04,-65.59802962809734,-65.42964892907416,-77.30877998519328,-66.14964663245799
700.0,-64.94,-59.757396225214116,-59.996210723309716,-70.55899638479202,-60.2753130813251
725.0,-59.72,-54.58871418488192,-55.11390376992359,-64.62121023708417,-55.07696126714163
750.0,-54.23,-49.98429258687364,-50.70621641745489,-59.35706734205201,-50.446131840399154
775.0,-49.35,-45.85889662742929,-46.710274292917084,-54.65861941262326,-46.297007148175965
800.0,-44.99999999999999,-42.144048239303345,-43.07384663262026,-50.440394918159456,-42.5606628364689
850.0,-37.58,-35.7327168786008,-36.711061644182266,-43.182968695987576,-36.1117315377586
900.0,-31.51,-30.409419000034557,-31.341069500966412,-37.172840636125386,-30.756486381918194
950.0,-26.47,-25.933611875596675,-26.760584519075614,-32.12607660293562,-26.253116763835997
1000.0,-22.22,-22.129830636041422,-22.816800969336583,-27.839353058324676,-22.425297013752246
1100.0,-15.489999999999998,-16.043885379608408,-16.39713639005349,-20.981817199371655,-16.299535306132146
1200.0,-10.43,-11.423680258957088,-11.419160847386555,-15.776523588182897,-11.647920426044408
1300.0,-6.5,-7.8207012954889725,-7.463337203250833,-11.719971782857392,-8.019787759988189
1400.0,-3.37,-4.945654673889672,-4.253312676754676,-8.487613872177269,-5.124350244711473
1500.0,-0.8399999999999999,-2.6052952006760743,-1.601043684656802,-5.862039378187524,-2.7672776495573914
1600.0,1.26,-0.6667720063881195,0.6249851007414963,-3.6931638568053313,-0.8149112746294391
1800.0,4.49,2.353039387539318,4.149834554784388,-0.3300743708931188,2.2262732457338377
2000.0,6.85,4.595279570599894,6.815247670941704,2.1503892548203885,4.484064414501751
2500.0,10.57,8.294281360610741,11.307241729070713,6.202949250057602,8.207872890810426
3000.0,12.639999999999999,10.550945298112136,14.107958632163793,8.652822127064658,10.479390858372652
